职位名称,关键词,薪水,城市,公司名称,技能要求,工作经验,招聘类型,产业链环节,获取时间,职位详情
数据开发工程师,"数据开发,数据分析",8-13K,杭州,数字浙江技术运营有限公司,"Python,SQL",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1、参与业界领先的大数据平台和应用软件产品的开发；
2、充分发挥自己专业技能，高质量、高效率的完成产品的设计和开发任务；
3、利用业界最新的技术和工具，不断攻克技术难关；
职位要求：
1、计算机相关专业应届毕业生，备良好的编码能力，热爱互联网行业；
2、具备良好的技术文档输出能力；
3、性格开朗，抗压力强，有责任心。"
数据工程师（应届校招）,"数据开发,数据分析",10-12K,杭州,浙江玉皇山南投资管理有限公司,"Java,Python,C++,Linux",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
1.与投资经理和研究员协同工作，负责海量数据挖掘, 为量化研究提供强有力的数据保障。
2.协助投资经理测试运行各类投资模型， 负责数据库更新维护。
任职要求：
1.国内外知名院本科及以上学历。  计算机， 理工科相关专业。
2.拥有互联网，券商，公募，私募数据编程实习经验优先。
3.熟悉Linux操作系统， 熟练至少一门编程语言比如Python，Java， C++， 熟悉基本算法。
4.工作责任心强、具有良好的沟通能力和协调能力。"
数据开发工程师,"数据开发,数据分析",15-30K,北京,北京小砖科技有限公司,"Python,Scala,Spark,Hadoop",应届生,校招,数据中心其他,2023/1/6,"职位表述：
1、数据仓库和大数据处理模块的架构设计、开发和维护；
2、负责数据清洗、加工、分类等开发工作；优化数据模型和ETL性能，参与数据治理，确保数据质量；
3、响应各业务团队的数据需求，优化需求响应效率；
任职要求：
1、本科及以上学历， 计算机相关专业；
2、熟悉数据仓库领域知识和技能者优先，包括但不局限于：元数据管理、数据开发测试工具与方法、数据质量、主数据管理；
3、熟悉Scala ，了解python；
4、熟悉至少一种主流数据库系统，有PostgreSQL经验优先；
加分项：
1、对数据敏感，具备良好的逻辑思维能力、具有团队精神以及优秀的问题解决能力；
2、使用过分布式系统，比如Hadoop、Spark等进行性能优化经验优先；
3、熟系AWS相关服务者优先；
4、有图数据库经验者优先
职位招聘1人"
数据开发工程师,"数据开发,数据分析",3-5K,南宁,上海诺栖智能科技有限公司,"Python,SQL,HIVE,Kafka,存储过程,OLAP,Spark,ES",应届生,校招,数据中心其他,2023/1/6,"【岗位职责】
1、负责数据分析、数据建模、数据导入清洗、数据处理、数据接入质量保障等工作；
2、负责数据质量管理、元数据管理、数据标准管理、数据交换等数据管控治理领域；
3、负责分析外部数据接入需求，确定接入数据类型和方式以及制定数据接入标准；
4、负责根据用户需求和系统情况设计可视化数据分析报告，对业务流程、系统业务进行问题挖掘，提供分析建议。
5、协助优化业务分析模型，为业务提供定制化的数据解决方案
【任职要求】
1、本科及以上学历，信息管理、计算机、软件工程、环境工程、统计、金融等专业优先
2、熟悉My SQL、Python语言，能熟练编写sql、函数、存储过程及调优等。
3、具备数据分析能力，逻辑思维缜密，以结果为导向
4、具备优秀的沟通能力和主动思考能力，逻辑条理清晰、工作严谨、责任心强、有进取心，具有良好的团队合作精神
5、有算法开发经验者优先
6、有Java开发经验者优先"
数据开发工程师,"数据开发,数据分析",21-30K,北京,北京三快在线科技有限公司,"Scala,Spark,Hadoop,Storm,HDFS",应届生,校招,数据中心其他,2023/1/6,"美团秋招正式批开始啦
开始投递日期：2021.8.2
如果你热爱钻研
如果你热爱学习
如果你有良好的心态
如果你对大数据开发研发感兴趣
那么就来投递吧
只为遇见优秀的你
职位招聘1-1000人"
数据开发工程师,"数据开发,数据分析",15-30K,北京,北京趣拿软件科技有限公司,"Java,Python,Shell,SQL,Spark,Hadoop,Scala,R语言",应届生,校招,数据中心其他,2023/1/6,"1.参与数据的离线和实时处理、统计分析等工作；
2.参与数据仓库建模和优化工作；
3.参与数据可视化相关开发工作。
任职资格：
1.2021年7月-2022年12月毕业的应届生、全日制本科及以上学历，计算机相关专业；
2.熟练使用C/C++/Java /Python/Shell 等语言中的一种；
3.有Hadoop/Spark 开发、SQL语言开发经验优先；
4.加分项：熟悉数据建模理论、熟悉大数据任务调优、熟悉分布式架构；
5. 快速的业务学习能力，敏捷而周到的逻辑思维能力；
6. 热爱互联网，对互联网相关业务或技术充满好奇及热情。
职位招聘5-8人"
数据开发工程师,"数据开发,数据分析",4-5K,天津,丹佛斯（天津）有限公司,"数据分析,SQL,Python,Java,Hadoop,Spark,BI,英语",应届生,校招,数据中心其他,2023/1/6,本科及以上学历，计算机、数学、统计学及相关专业、英语口语流利者优先
数据开发工程师,"数据开发,数据分析",10-12K,深圳,创金合信基金管理有限公司,"Python,SQL,计算机相关专业,数学/统计相关专业",应届生,校招,数据中心其他,2023/1/6,"工作职责：
1、负责机构客户相关数据分析与洞察、常见报表设计及开发
2、负责产品数据仓库（如基础数据模型、数据集市）设计、开发及优化
3、负责机构客户数据挖掘与应用相关工作，包括营销线索挖掘，渠道产品推荐等
任职要求：
1、数学、金融、计算机相关专业
2、具有较强的sql、python开发能力
3、有一定的数据挖掘基础，熟悉基本的数据分析算法
4、对数据敏感，沟通表达、学习能力强"
大数据工程师,"数据开发,数据分析",5-8K,佛山,广东康荣高科新材料股份有限公司,"计算机相关专业,数学/统计相关专业,大数据开发经验,Mysql,POWERBI",应届生,校招,数据中心其他,2023/1/6,"1.学历：全日制本科以上
2.专业：计算机科学与技术、电子与计算机工程、信息安全、软件工程、智能科学与技术、网络工程、数字媒体技术
3.办公/软件技能：熟悉Mysql. SQL Server中的一种数据库
岗位职责：
1.内部信息项目实施辅助
2.公司大数据开发及应用推导
培养方向：大数据工程师"
大数据工程师,"数据开发,数据分析",6-8K,大连,信华信技术股份有限公司,大数据,应届生,校招,数据中心其他,2023/1/6,"1.学历要求：2023届全日制本科及硕士毕业生
2.专业要求：计算机、软件、大数据、云计算、物联网、网络工程、信息、通信、电子、机械等理工科相关专业
3.其它要求：品行端正，无不良记录
        身体健康，无影响工作的疾病或传染病
        学习成绩优秀，能获得毕业证及学位证，愿意从事软件开发工作"
